clase,probclase1,probclase2,probclase3,Country,L1Name,L2Namev2,BECTUAREAL2,BECCVPTCHAREAL2,BECAWMNSHPINDXL2,BECAWMNNNGHL2,BECEFFMESHSIZEL2,BECAWEDGDENSL2,BECPOPDENSADJL2,BECPRSBRTL2,BECPRSSUBWAYL2,BECADCRCTYAVGL2,BECADINTDENSL2,BECADSTTDENSL2,BECURBTRVDELAYINDEXL2
2,1.25E-09,0.999999998,0.00000,Argentina,Zarate-Campana,Zárate,2573.464,1056.1026,2.8387,96.3262,14.5673,0.190495521,1726.203,0,0,1.046583679,2.475997861,846.6096999,0.109877371
2,3.80E-16,0.999995923,0.00000,Brasil,Alagoinhas,Alagoinhas,1869.4725,1194.005,6.2551,81.4949,38.1201,0.948316746,3674.413,0,0,1.073840458,3.430648555,850.5077824,0.043172893
3,4.89E-16,2.36E-14,1.00000,Brasil,Anapolis,Anápolis,7126.2895,1487.1609,7.0107,72.8118,315.8039,1.750328042,2849.101,0,0,1.039957972,11.57542772,2370.328067,0.088590627
2,4.83E-06,0.99999517,0.00000,Brasil,Anapolis,Gameleira de Goias,51.75,287.0479,2.0326,328.9131,0.0209,0.059046203,110.115,0,0,1.045380414,0.194843877,106.0747857,0
2,2.19E-11,0.999999987,0.00000,Brasil,Angra dos Reis,Angra dos Reis,2085.0228,581.7017,3.346,76.9062,5.147,0.191890652,2132.941,0,0,1.149804379,3.926636685,905.2281524,0.020828014
2,2.81E-16,0.999999997,0.00000,Brasil,Apucarana,Apucarana,2107.7966,945.9028,6.2319,94.8208,39.5763,1.338364333,2532.881,0,0,1.071382675,5.599440832,1763.36539,0.073050388
3,8.90E-08,7.26E-213,1.00000,Brasil,Aracaju,Aracaju,6534.2628,1120.1021,3.9466,65.1338,970.5747,3.708340243,6268.552,0,0,1.043579734,58.65776406,9084.137839,0.158620371
2,2.35E-10,0.99999897,0.00000,Brasil,Aracaju,Barra dos Coqueiros,319.4999,521.9418,2.8526,80.2408,6.0349,1.597205122,1999.955,0,0,1.075780716,8.86810862,2013.472732,0.04622613
3,8.79E-09,0.160393547,0.83961,Brasil,Aracaju,Nossa Senhora do Socorro,1759.8635,841.1125,4.7943,70.7667,69.2193,2.868541128,3097.6,0,0,1.063054038,19.93626817,3738.635228,0.031194757
2,4.40E-11,1,0.00000,Brasil,Aracaju,Sao Cristovao,928.3378,783.8214,2.9041,122.2291,4.4481,0.287467911,1627.345,0,0,1.109777898,3.942297317,1201.262404,0.013885867
