screen_name,created_since,favourites_count,followers_count,friends_count,listed_count,statuses_count
smart_keralty,2796,9,76,210,1,23
mafeforn,2434,78,36,287,0,209
jlamus,3022,232,242,325,1,705
Lu_Pedraza,3479,871,679,1181,16,6696
JohnJLache,2394,506,85,518,1,520
maurovelasquez,3825,286,310,587,7,1391
hfortich,3081,1505,65,164,4,1612
BCrissien,2541,1513,582,346,12,701
nachomejia64,2375,128,24,131,1,57
angelmusikal,2633,796,648,735,3,2716
elsapoylaestaca,2955,434,89,176,3,1609
AMARQUEZM80,3105,31,39,99,0,34
paulaperezg,3270,25,123,186,4,157
JhonFon70032530,773,0,1,9,0,3
juanpablorocha,3648,870,1455,967,34,3095
Esmevelandia,2827,653,164,352,0,333
Mateoval18,2591,2750,201,363,1,6201
DanielaGalindoB,3182,468,315,116,11,582
apmayorg25,2614,224,41,145,1,368
raigohead,3934,8113,5719,2500,204,40270
augustomorenoco,2786,4027,1398,897,36,6702
JuanDaCastano,1666,783,454,237,5,741
chapulin_bog,291,342,4,46,0,156
luchopipee,3227,3686,575,545,10,11970
anakarinaqa,2827,609,1145,584,14,908
camihurs,2800,4962,298,529,22,12106
mliberini,3582,1167,1038,194,73,5577
anamruizcer,1722,68,13,64,0,12
felipks,3488,1650,536,1631,12,3237
JRESCOBAR,3466,479,638,2174,1,806
santiagopinzong,3525,26567,4661,2598,295,34545
ECBTIUnadCaribe,302,530,133,154,0,340
Velarozo,3545,104,134,201,5,1014
mvargasupegui,3141,347,65,82,0,299
AndresBoteroV,1004,0,14,50,0,1
barchila11,3178,2140,167,119,1,1170
martialejo,2757,52,55,98,0,106
alejav1007,2798,661,102,343,2,931
PitaGor41911091,168,241,7,151,0,15
Mauricioriosh,3135,227,115,200,0,158
tfaponte,3512,183,180,352,1,6829
rubiojorge21,2704,6279,192,315,2,531
jos3milio,4109,477,740,946,28,2772
catalinalopezg,3460,3163,353,530,8,6214
arobledosilva,3088,4,57,117,0,36
adriaristi,3532,1825,60,293,0,57
JhandyBello,1834,704,326,386,0,3111
EliuribeS,1014,30,15,37,0,26
GLADYSOCM,2945,188,37,112,0,181
jrratato,2491,4773,202,446,3,39319
SoyTechInfo,1429,35,25,257,0,33
adrcano,3197,488,23,517,0,212
betolive,4360,1314,1956,2503,116,7940
fidelcanoco,3520,2176,166360,1419,1219,17508
joseaces,3442,73,81,314,1,202
JestebanExcel,362,24,2,84,0,8
Lilimatt,3424,11880,1682,2303,50,27541
adrionzb,3063,721,199,335,4,798
elbergutierrezr,2881,869,2461,891,33,3323
Agustinlp77,3196,30,15,22,0,32
alejo_ang,3294,458,79,310,0,2153
cgallegom,3487,262,434,509,1,63
WACastellanosM,3056,7,64,21,14,374
emireiro,3227,35,340,395,7,1430
ncleguizamon,340,21,6,98,0,6
linaarbelaez,3536,2213,2132,989,22,4816
dianadoor,3290,1375,360,1296,7,4826
AlvaroMarquezCa,2927,693,541,211,10,3631
BMVCali,3204,42,39,56,0,49
gabrielecarva_r,648,1413,43,138,0,186
maurozuc,2665,419,188,597,2,733
alejowhite,2946,894,146,979,1,1002
LiAngulo,3065,120,427,1515,26,614
mateocr19,2882,1748,98,211,0,1524
marganavarrera,3137,180,40,282,0,7
juanpagp,3202,230,262,1537,4,456
jgperezch,3116,382,628,458,23,2870
Chamis40,2104,17,29,189,0,211
MairaGarciaJ,1271,42,69,96,1,140
Lizaleon,3259,157,18,121,0,77
jseslavag,3521,1899,1030,1054,14,885
DianaMontoya,3590,12924,2413,884,23,4407
jalexgarciab,3223,131,253,1106,4,992
llopezca,2720,268,217,445,0,165
danielburitica,4040,559,2405,719,63,3014
lacucaramacara,3659,812,894,588,46,17933
JoleRestrepo,3294,2818,14406,13336,380,19056
patriciasd,3670,609,96,257,37,530
puertodigital,3178,22392,2503,2865,75,30778
JoseCaparroso,3505,2761,4568,1679,43,13858
laitho,3594,2,13,208,0,2
gautamborad,3370,27,46,112,6,80
