Country;L1Name;L2Namev2;BECNURBPTCH;BECPTCHDENS;BECAWMNSHPINDX;BECAWMNNNGH;BECEFFMESHSIZE;BECAWAVGPTCHAREA;BECAWEDGDENS;BECPRSBRT;BECPRSSUBWAY;BECADCRCTYAVG;BECADINTDENS;BECADSTTDENS;BECADSTTPNODEAVG;BECADSTTLGAVG;BECURBTRVDELAYINDEX;UL_PROFILE;TR_PROFILE;CentLatitude;CentLongitude;TSNE_UL_X;TSNE_UL_Y;TSNE_TR_X;TSNE_TR_Y;PCA_UL_X;PCA_UL_Y;PCA_TR_X;PCA_TR_Y;UMAP_UL_X;UMAP_UL_Y;UMAP_TR_X;UMAP_TR_Y
Argentina;Buenos Aires;Almirante Brown;72;0,5577;4,53;61,2989;5365,4112;8238,0015;11,44213811;0;0;1,00689337181398;62,3347463569305;12149,78104486;3,41606954070245;109,306752598276;0,14526409515623925;3;5;-34,8400613;-58,3945107;26,036605834960938;-26,759035110473633;9,252872467041016;-45,49910354614258;3,195376189932614;0,4243783842990903;-2,74962220797339;-0,5967534842490394;-4,158412933349609;2,6499998569488525;3,9937903881073;3,4894442558288574
Argentina;Buenos Aires;Avellaneda;32;0,5591;3,0293;60,571;3417,2147;4356,9864;13,26032658;0;0;1,01879555124613;71,2069573258598;13464,9650915702;3,36603860294117;106,822490797239;0,17332857126578122;3;5;-34,6610756;-58,3669739;29,997112274169922;-22,022661209106445;8,398835182189941;-47,58515167236328;1,4907168588201325;0,9278384635790734;-2,8630954231180015;-0,15828296814277593;-4,226597785949707;1,6744458675384521;4,518141269683838;3,577838659286499
Argentina;Buenos Aires;Berazategui;176;0,7996;2,4932;62,5616;1215,63;4639,446;2,689385801;0;0;1,024248342059;27,3256873936802;5823,53395314542;3,35436137071651;120,566272523631;0,13940755641523786;2;1;-34,762001;-58,2112961;25,41360092163086;-16,177507400512695;45,029109954833984;-7,661863803863525;0,5521114668932245;0,056259164305160834;-1,34703760302176;-1,256336142133377;-3,545354127883911;1,1682831048965454;2,937246322631836;3,42073392868042
Argentina;Buenos Aires;Berisso;72;0,4949;5,8011;63,2306;217,3327;1704,7864;6,328717516;0;0;1,02818016657446;13,6727750479154;3027,78067954515;3,24483233807992;126,63126676385;0,11623859762839545;2;4;-34,8730675;-57,88371729999999;3,1114912033081055;-23,599172592163086;40,72084426879883;-5,021808624267578;0,4064888383071837;-0,3126157770218183;-0,6584874600355841;-1,386478358767476;-0,9944307208061218;2,9143548011779785;-2,648749351501465;5,63911247253418
Argentina;Buenos Aires;CABA - Comuna 10;1;0,0807;1,6596;76,50085;1239,3;1239,3;18,88162672;1;0;1,00835919954645;110,519146532265;18956,2618407429;3,5644128113879;97,3435364048028;0,12191444289267389;6;5;-34,6273345;-58,5029706;41,47566223144531;-16,928861618041992;9,08492374420166;-55,51922607421875;-0,07749697285609398;1,375219098433584;-4,373730203722543;0,26544060660082736;-5,459397315979004;0,3117336332798004;5,665017127990723;3,8245062828063965
Argentina;Buenos Aires;CABA - Comuna 11;1;0,0715;1,772;76,50085;1397,7;1397,7;19,01695643;1;0;1,00276804772973;106,913437071146;18807,9303117842;3,67729083665338;98,3009697324536;0,13792109027369429;6;5;-34,6087721;-58,51634589999999;40,88218307495117;-16,599193572998047;10,265059471130371;-55,41514205932617;0,03213091510988719;1,3625765517782444;-4,501832623387236;-0,08083155653171202;-5,328830718994141;0,43014413118362427;5,58134651184082;3,857393503189087
Argentina;Buenos Aires;CABA - Comuna 8;93;4,3047;2,5488;60,4632;465,6634;738,5208;11,3636859;1;0;1,02638706486947;73,2076676410377;13770,1492109255;3,24310041103934;110,69461369791;0,13866294840500978;2;5;-34,6740319;-58,45729069999999;33,47330093383789;16,998821258544922;6,878407955169678;-47,16716003417969;-0,31343879837374716;3,6499197157224663;-2,671886751804805;0,23310452095583806;-2,694331169128418;-2,979403495788574;4,574889183044434;3,421133518218994
Argentina;Buenos Aires;CABA - Comuna 9;4;0,2538;1,775;84,8549;1531,4872;1551,6932;17,68403929;1;0;1,00499681305162;102,317197519404;18322,6786576375;3,59462759462759;102,113188967181;0,15761685748980836;2;5;-34,6539679;-58,4915489;39,7659797668457;-17,261028289794922;9,563392639160156;-54,643001556396484;0,07984092911780781;1,349431769077245;-4,234727340269948;0,02391641767505815;-5,135589122772217;0,5439154505729675;5,556014537811279;3,8559467792510986
Argentina;Buenos Aires;Cañuelas;396;0,3328;3,7226;107,5962;4,1791;364,234;0,185779731;0;0;1,0418723555699;1,87801642981962;868,642331137261;3,20209339774557;262,628959600765;0,04100043320373192;1;6;-35,04914249999999;-58,75950530000001;-24,07645606994629;3,0793235301971436;30,928424835205078;26,562591552734375;-0,5124385510871001;-0,7381258880249576;0,6579282460715482;-1,195632984406691;4,075307846069336;1,738290786743164;-4,855563640594482;1,5438652038574219
Argentina;Buenos Aires;Ensenada;95;0,8344;4,6192;69,3673;121,0411;876,6141;4,66503808;0;0;1,04265625640877;15,5279804773721;3528,03412814197;3,16833667334669;130,631791963711;0,0821951810995967;4;4;-34,8648233;-57,9085188;3,10909366607666;-10,934452056884766;34,59535598754883;-7,4443817138671875;-0,0721122985497001;-0,011583583947732286;-0,49890153214817673;-1,0105013578969153;-0,33821389079093933;1,6636487245559692;-2,449199676513672;3,9322144985198975
Argentina;Buenos Aires;Escobar;502;1,6612;3,9045;67,364;415,0117;2176,4097;1,51989565;0;0;1,03290084414927;18,454311328854;3964,02337506851;3,05584164789185;127,328042946082;0,1314311642627372;2;4;-34,3402525;-58,7849434;14,81616497039795;4,952012538909912;11,701498031616211;-17,51845359802246;0,08774813690419281;0,3856562397860637;-0,5159198603548293;-0,80202069236393;-0,2724562883377075;-0,7483680248260498;0,44607114791870117;2,5020222663879395
